trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-53.96160196935213,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-89.00636916492107,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-91.95603895066789,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-137.9083484169894,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-104.61606171379087,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-105.19815594693695,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-70.3395371431244,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,4,-55.95858686766164,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-63.99306950683569,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-43.078158559099414,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-145.14702503668485,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,4.343689663577947,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-46.67824558838039,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-105.1612621049396,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-65.14297447867779,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,13,9.812602780434847,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,9.464431615185251,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,1.00111760834155,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,4.210869211892996,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,10,-17.350819233127517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-106.28079584846978,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-45.987426005834664,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,10,-22.41835199691075,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,10,-7.031209831597593,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,2,-24.915422545747347,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,8,-34.58023818148375,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,0,-211.37111774167667,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",20,0,-54.888312185404295,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",35,3,-20.677671150473504,"{0: 28, 1: 2, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,6,-24.271814457487633,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
