trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",20,0,-108.60696689559323,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",25,0,-146.64543545339808,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",25,0,-182.22312238220198,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",25,0,-63.43803993622005,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-50.076439227608766,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",35,0,-263.54215722097047,"{0: 20, 1: 1, 2: 7, 3: 4, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",20,0,-126.74459649394582,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-89.25028892447476,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",30,0,-121.09669116277435,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-109.26572462327911,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",20,0,-35.648635485691116,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-80.38254573314751,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",25,0,-124.54087304980436,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",30,0,-192.7171118812845,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,-145.53957334059322,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-101.34301744358882,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",30,0,-198.07001953655697,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-90.75243602588833,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981179362242806}",30,0,-49.31646294706016,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-65.79237060418198,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9792189645694596}",30,0,-95.60309901545378,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.97824023505121}",25,0,-175.94448867844332,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9772624837732771}",20,0,-214.21578755717036,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-60.72942327588127,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9753099120283326}",30,0,-131.0329353193559,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9743350896087494}",20,0,-125.23908370945057,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-77.22714081749957,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9723883668012469}",25,0,-155.08821976215128,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9714164644666048}",20,0,-93.75264332401947,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-184.86980708707014,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9694755730760259}",35,0,-173.98531354011752,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9685065820791976}",25,0,-138.18828270352915,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
