trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",35,0,-316.26165627572993,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",30,0,-161.2989433034196,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",25,0,-136.18196372835615,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",20,0,-84.3754120194761,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-88.94667105005122,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-147.14635886141144,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",20,0,-119.12321146503652,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-9.369443540299281,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",30,6,-177.19129629006082,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 4}",1
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-120.45035685983963,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",25,0,-128.75119891446695,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-104.03329234843198,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",30,0,-241.14438743857474,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",35,11,-97.16886441769675,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-184.01923110661238,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-80.32174921108853,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",25,0,-183.24574446260752,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-50.49766845719491,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981179362242806}",20,0,-151.8640949250974,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-140.3977310591386,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9792189645694596}",25,0,-145.9860916063637,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.97824023505121}",25,0,-109.26759641171641,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772624837732771}",20,0,-42.0487157575128,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-85.49637504366596,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9753099120283327}",20,0,-92.88772648273255,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9743350896087494}",20,0,-168.22299377502048,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.9733612415243368}",20,0,-119.82739995050738,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9723883668012469}",25,0,-240.64173733477006,"{0: 10, 1: 6, 2: 4, 3: 1, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9714164644666048}",30,6,-148.35756401650116,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 3}",1
30,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-237.40866826401785,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.9694755730760259}",20,0,-109.35293354012393,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9685065820791976}",25,0,-161.97816279056224,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.967538559589032}",20,0,-83.44710119800892,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9665715046375066}",20,0,-127.69228682433372,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-146.49219556882844,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
