trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-212.19738957189566,"{0: 20, 1: 2, 2: 9, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.621521768905254,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.52009169972456,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.73611998235415,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.65127449875342,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,1,-138.68754228411865,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.10294592195899,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.90501830945658,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.2423989972103,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.58681110801462,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.8608382861866,"{0: 12, 1: 0, 2: 9, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.13993012577012,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.69236883792155,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.57195053998325,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,2,-119.64648966441135,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.63591321334611,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.59297023852167,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.64389272033958,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.40260327782812,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.50698428432243,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.26189337605317,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.83993624756712,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.54428607010948,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-42.64581012267212,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.4141051564523,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.4644232812549,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-68.5787965036557,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.16589011051656,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.24559814647085,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-20.757836207920796,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
